Name,Gender,Race,Status,s_01,e_01,p_01,s_02,e_02,p_02,s_03,e_03,p_03,s_04,e_04,p_04,s_05,e_05,p_05,s_06,e_06,p_06
Howard Berman,Male,Jewish,Inactive,1972,1973,Assembly District 57,1974,1981,Assembly District 43,1982,2001,US District 26,2002,2011,US District 28,,,,,,
Mitch Englander,Male,Jewish,Active,2011,2016,LA District 12,,,,,,,,,,,,,,,
Zev Yaroslavsky,Male,Jewish,Inactive,1975,1993,LA District 05,1994,2013,County District 3,,,,,,,,,,,,
Anthony Beilenson,Male,Jewish,Inactive,1962,1965,Assembly District 59,1966,1973,Senate District 26,1974,1977,Senate District 22,1976,1991,US District 23,1992,1995,US District 24,,,
George Danielson,Male,Jewish,Deceased,1962,1965,Assembly District 48,1966,1971,Senate District 27,1970,1973,US District 29,1974,1981,US District 30,,,,,,
Alan Sieroty,Male,Jewish,Inactive,1966,1973,Assembly District 59,1974,1977,Assembly District 44,1978,1981,Senate District 22,,,,,,,,,
Paul Koretz,Male,Jewish,Active,2000,2005,Assembly District 42,2009,2016,LA District 05,,,,,,,,,,,,
Keith Richman,Male,Jewish,,2000,2005,Assembly District 38,,,,,,,,,,,,,,,
Ron Galperin,Male,Jewish,Active,2013,2016,City Controller,,,,,,,,,,,,,,,
Howard Finn,Male,Jewish,,1981,1986,LA District 01,,,,,,,,,,,,,,,
Andra Hoffman,Female,Jewish,Active,2015,2016,LACCD 1,,,,,,,,,,,,,,,
Nell Soto,Female,Latino,Deceased,1998,2007,Assembly District 61,2000,2005,Senate District 32,,,,,,,,,,,,
Yolie Flores Aguilar,Female,Latino,Inactive,2007,2010,LAUSD D 5,,,,,,,,,,,,,,,
Matthew ""Marty"" Martinez,Male,Latino,Deceased,1980,1981,Assembly District 59,1982,1991,US District 30,1992,1999,US District 31,,,,,,,,,
Richard Alarcon,Male,Latino,ELECTION,1993,2012,LA District 07,1998,2005,Senate District 20,2006,2006,Assembly District 39,,,,,,,,,
Charles Calderon,Male,Latino,Inactive,1982,1989,Assembly District 59,1990,1993,Senate District 26,1994,1997,Senate District 30,2006,2011,Assembly District 58,,,,,,
Gloria Molina,Female,Latino,Inactive,1982,1985,Assembly District 56,1987,1990,LA District 01,1991,2013,County District 1,,,,,,,,,
Eric Garcetti,Male,Latino,Active,2001,2012,LA District 13,2013,2016,Mayor,,,,,,,,,,,,
Jenny Oropeza,Female,Latino,Deceased,2000,2005,Assembly District 55,2006,2009,Senate District 28,,,,,,,,,,,,
Esteban Torres,Male,Latino,Inactive,1982,1997,US District 34,,,,,,,,,,,,,,,
Gil Garcetti,Male,Latino,Inactive,1992,1999,County District Attorney,,,,,,,,,,,,,,,
John Perez,Male,Latino,Inactive,2008,2011,Assembly District 46,2012,2013,Assembly District 53,,,,,,,,,,,,
Rocky Delgadillo,Male,Latino,Inactive,2001,2008,City Attorney,,,,,,,,,,,,,,,
Cristina Garcia,Female,Latino,Active,2012,2016,Assembly District 58,,,,,,,,,,,,,,,
Patty Lopez,Female,Latino,Active,2014,2016,Assembly District 39,,,,,,,,,,,,,,,
Joe Baca,Male,Latino,,1998,1999,Senate District 32,,,,,,,,,,,,,,,
Antonio Villaraigosa,Male,Latino,Inactive,1994,1999,Assembly District 45,2003,2004,LA District 14,2005,2012,Mayor,,,,,,,,,
Edward Roybal,Male,Latino,Deceased,1959,1962,LA District 09,1962,1973,US District 30,1974,1991,US District 25,,,,,,,,,
Gilbert Cedillo,Male,Latino,Active,1997,2001,Assembly District 46,2002,2009,Senate District 22,2010,2011,Assembly District 45,2013,2016,LA District 01,,,,,,
